ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Vote-by-Mail	865,187	793,105	51,842	344,385	2,054,519	11/01/2016  7:11AM
10282	11/08/2016	2016 General Election	Alachua	Voted Vote-by-Mail	6,415	11,206	431	2,851	20,903	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Baker	Voted Vote-by-Mail	770	647	15	79	1,511	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Bay	Voted Vote-by-Mail	8,405	4,384	220	1,578	14,587	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Bradford	Voted Vote-by-Mail	999	808	32	159	1,998	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Brevard	Voted Vote-by-Mail	35,904	24,206	2,384	10,975	73,469	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Broward	Voted Vote-by-Mail	34,984	73,990	1,968	23,678	134,620	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Vote-by-Mail	206	510	8	36	760	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Vote-by-Mail	14,306	9,256	1,097	4,922	29,581	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Citrus	Voted Vote-by-Mail	10,847	6,688	658	3,352	21,545	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Clay	Voted Vote-by-Mail	9,839	3,407	403	2,491	16,140	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Collier	Voted Vote-by-Mail	27,824	10,800	1,098	8,338	48,060	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	Columbia	Voted Vote-by-Mail	2,232	1,759	135	469	4,595	11/01/2016  4:02AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Vote-by-Mail	716	806	21	219	1,762	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Dixie	Voted Vote-by-Mail	668	589	48	107	1,412	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Duval	Voted Vote-by-Mail	26,603	19,778	1,396	5,985	53,762	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Escambia	Voted Vote-by-Mail	15,837	9,884	741	3,633	30,095	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Flagler	Voted Vote-by-Mail	5,195	3,598	211	1,907	10,911	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Franklin	Voted Vote-by-Mail	404	620	26	89	1,139	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Vote-by-Mail	547	2,502	34	143	3,226	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Vote-by-Mail	747	466	31	106	1,350	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Glades	Voted Vote-by-Mail	274	237	17	52	580	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Gulf	Voted Vote-by-Mail	612	498	13	70	1,193	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Vote-by-Mail	383	594	10	71	1,058	11/01/2016  5:06AM
10282	11/08/2016	2016 General Election	Hardee	Voted Vote-by-Mail	300	187	10	51	548	11/01/2016  5:06AM
