ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	State Totals	Voted Early	1,425,309	1,580,003	89,990	779,627	3,874,929	11/08/2016  8:55AM
10282	11/08/2016	2016 General Election	Alachua	Voted Early	13,212	28,079	1,053	8,756	51,100	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Baker	Voted Early	4,174	2,387	80	538	7,179	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Bay	Voted Early	25,578	11,306	826	6,248	43,958	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Bradford	Voted Early	2,462	1,731	62	420	4,675	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Brevard	Voted Early	52,535	39,157	3,825	22,872	118,389	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Broward	Voted Early	86,666	239,078	5,756	94,994	426,494	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Calhoun	Voted Early	784	1,705	17	186	2,692	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Charlotte	Voted Early	19,416	10,939	1,602	7,686	39,643	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Citrus	Voted Early	15,398	7,943	898	5,088	29,327	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Clay	Voted Early	33,800	11,336	1,152	8,241	54,529	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Collier	Voted Early	39,191	18,984	1,589	15,164	74,928	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Columbia	Voted Early	7,136	5,191	284	1,433	14,044	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	DeSoto	Voted Early	1,556	2,263	52	574	4,445	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Dixie	Voted Early	995	1,083	54	187	2,319	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Duval	Voted Early	89,018	100,572	5,658	32,120	227,368	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Escambia	Voted Early	27,384	20,266	1,174	7,349	56,173	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Flagler	Voted Early	13,251	9,809	641	6,002	29,703	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Franklin	Voted Early	766	1,288	37	222	2,313	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Gadsden	Voted Early	1,528	7,535	75	488	9,626	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Gilchrist	Voted Early	1,518	641	55	198	2,412	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Glades	Voted Early	351	412	12	88	863	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Gulf	Voted Early	1,926	1,391	49	246	3,612	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Hamilton	Voted Early	611	948	36	107	1,702	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Hardee	Voted Early	2,026	1,255	59	278	3,618	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Hendry	Voted Early	2,441	2,741	76	551	5,809	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Hernando	Voted Early	11,902	8,304	860	4,777	25,843	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Highlands	Voted Early	9,710	5,975	516	2,795	18,996	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Hillsborough	Voted Early	82,268	102,863	6,035	51,001	242,167	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Holmes	Voted Early	1,936	794	20	151	2,901	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Indian River	Voted Early	16,890	9,027	978	6,239	33,134	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Jackson	Voted Early	3,650	4,891	88	480	9,109	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Jefferson	Voted Early	940	1,685	48	209	2,882	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Lafayette	Voted Early	449	651	16	31	1,147	11/08/2016  8:55AM
10282	11/08/2016	2016 General Election	Lake	Voted Early	34,182	24,668	2,359	13,969	75,178	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Lee	Voted Early	46,166	30,083	2,353	22,291	100,893	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Leon	Voted Early	19,026	38,540	1,235	8,717	67,518	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Levy	Voted Early	2,705	1,687	215	500	5,107	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Liberty	Voted Early	250	1,039	6	52	1,347	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Madison	Voted Early	1,496	2,715	61	282	4,554	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Manatee	Voted Early	22,233	15,778	1,086	9,513	48,610	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Marion	Voted Early	30,770	23,318	2,334	9,777	66,199	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Martin	Voted Early	17,845	8,774	1,602	5,816	34,037	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Miami-Dade	Voted Early	125,302	218,624	6,531	125,381	475,838	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Monroe	Voted Early	5,332	4,852	301	2,838	13,323	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Nassau	Voted Early	15,245	4,882	623	2,759	23,509	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Okaloosa	Voted Early	29,128	8,614	756	6,653	45,151	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Okeechobee	Voted Early	2,974	2,122	149	634	5,879	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Orange	Voted Early	71,308	118,245	5,313	60,246	255,112	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Osceola	Voted Early	15,566	30,478	1,148	16,062	63,254	11/08/2016  5:40AM
10282	11/08/2016	2016 General Election	Palm Beach	Voted Early	66,933	112,021	7,500	53,946	240,400	11/08/2016  6:29AM
